name,telNum,neighborhood,address,hh_sun,hh_mon,hh_tues,hh_wed,hh_thurs,hh_fri,hh_sat
Les Halles,(212) 285-8585,Financial District,"15 John St., New York, NY 10038",,,,,,,
Lexa Bar & Garden,(929) 243-3300,Norwood,"357 E 204th St., Norwood, NY 10467",,,,,,,
Lexington Brass,(212) 392-5976,Midtown East,"517 Lexington Ave., New York, NY 10017",,,,,,,
Leyenda,(347) 987-3260,Cobble Hill,"221 Smith St., Carroll Gardens, NY 11201",,,,,,,
Libation,(212) 529-2153,Lower East Side,"137 Ludlow St., New York, NY 10002",,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,
Libertador,(212) 348-6222,Upper East Side,"1725 2nd Ave., New York, NY 10128",,,,,,,
Libretto's Pizzeria,(212) 213-6445,Midtown East,"546 3rd Ave., New York, NY 10016",,,,,,,
LIC Market,(718) 361-0013,Long Island City,"21-52 44th Dr., Long Island City, NY 11101",,,,,,,
Light Rail Cafe,(201) 434-9900,Jersey City,"237 Randolph Ave., Jersey City, NJ 07304",,,,,,,
Lighthouse,(347) 789-7742,Williamsburg - South Side,"145 Borinquen Pl, Brooklyn, NY 11211",,,,,,,
Lil' Frankie's,(212) 420-4900,East Village,"19 1st Ave., New York, NY 10003",11AM-2PM,,,,,11AM-2PM,11AM-2PM
Lillie's Victorian Bar & Restaurant,(212) 337-1970,Flatiron,"13 E 17th St., New York, NY 10003",,,,,,,
Lilly O'Briens,(646) 930-2008,TriBeCa,"18 Murray St., New York, NY 10007",,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,
Limani,(212) 858-9200,Midtown West,"45 Rockerfeller Plz, New York, NY 10011",,,,,,,
Limon Jungle,(212) 586-6032,Hell's Kitchen,"803 9th Ave., New York, NY 10019",,,,,,,
Lincoln Park Bar & Grill,(212) 974-2826,Hell's Kitchen,"867 9th Ave., New York, NY 10019",All Day,7PM-Midnight,7PM-Midnight,7PM-Midnight,7PM-Midnight,All Day,All Day
Linen Hall,(646) 602-9316,East Village,"101 3rd Ave., New York, NY 10003",,,,,,,
L'inizio Pizza Bar,(718) 361-1965,Hunters Point,"47-23 Vernon Blvd., Long Island City, NY 11101",,,,,,,
Lisbon Restaurant,(201) 432-9222,Jersey City,"100 York St., Jersey City, NJ 07302",,,,,,,
LITM,(201) 536-5557,Jersey City,"140 Newark Ave., Jersey City, NJ 07302",,,,,,,
Little Prince,(212) 335-0566,South Village,"199 Prince St., New York, NY 10012",,,,,,,
Little Pub,(203) 717-1147,Cos Cob,"531 E Putnam Ave., Cos Cob, CT 06807",,,,,,,
Little Rascal,(212) 966-0446,Nolita,"163 Elizabeth St., New York, NY 10012",,,,,,,
Little Town,(212) 677-6300,Union Square,"118a E 15th St., New York, NY 10003",,,,,,,
Littleneck,(718) 522-1921,Gowanus,"288 3rd Ave., Brooklyn, NY 11215",,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Live Bait,(212) 353-2400,Flatiron,"14 E 23rd St., New York, NY 10010",,,,,,,
Living Room Restaurant & Lounge,(718) 996-8700,Gravesend,"178 Ave. U, Brooklyn, NY 11223",,,,,,,
Livingston Manor,(347) 987-3292,Downtown Brooklyn,"42 Hoyt St., Downtown Brooklyn, NY 11201",,,,,,,
Lobo,(718) 858-7739,Cobble Hill,"218 Ct. St., Brooklyn, NY 11201",,,,,,,
Local 138,(212) 477-0280,Lower East Side,"138 Ludlow St., New York, NY 10002",,,,,,,
Local & Vine,(212) 337-3414,South Village,"282 Hudson St., New York, NY 10013",,,,,,,
Local West,(212) 629-7070,Midtown West,"1 Penn Plaza, New York, NY 10119",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Local92,(212) 432-2232,East Village,"92 2nd Ave., New York, NY 10003",,,,,,,
Locanda Verde,(212) 925-3797,TriBeCa,"377 Greenwich St., New York, NY 10013",,,,,,,
Locanda Vini e Olii,(718) 622-9202,Clinton Hill,"129 Gates Ave., Brooklyn, NY 11238",,,,,,,
Lock Yard,(718) 333-5282,Bay Ridge,"9221 5th Ave., Brooklyn, NY 11209",,,,,,,
Locksmith Wine & Burger Bar,(212) 304-9463,Washington Heights,"4463 Broadway, New York, NY 10040",,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,
Lodge,(718) 486-9400,Williamsburg - South Side,"318 Grand St., Brooklyn, NY 11211",,,,,,,
Loki Lounge,(718) 965-9600,Park Slope,"304 5th Ave., Brooklyn, NY 11215",,,,,,,
Lola's,(201) 420-6062,Hoboken,"153 14th St., Hoboken, NJ 07030",,,,,,,
Lone Star Bar & Grill,(718) 833-5180,Bay Ridge,"8703 5th Ave., Brooklyn, NY 11209",,,,,,,
Loreley,(212) 253-7077,Lower East Side,"7 Rivington St., New York, NY 10002",,,,,,,
Louie and Chan,(212) 837-2816,Lower East Side,"303 Broome St., New York, NY 10002",,,,,,,
Lovely Day,(212) 925-3310,Nolita,"196 Elizabeth St., New York, NY 10012",,,,,,,
Lovers of Today,(212) 420-9517,East Village,"132 1/2 E 7th St., New York, NY 10009",,,,,,,
Lucey's Lounge,(718) 877-1075,Gowanus,"475 3rd Ave., Brooklyn, NY 11231",,,,,,,
Lucky 7,(201) 418-8585,Jersey City,"322 2nd St., Jersey City, NJ 07302",,,,,,,
Lucky Bar 13,(516) 280-7613,Franklin Square,"677 Hempstead Tpke, Franklin Square, NY 11010",,,,,,,
Lucky Jack's,(212) 477-6555,Lower East Side,"129 Orchard St., New York, NY 10002",Noon-8PM,Noon-8PM,Noon-8PM,Noon-8PM,Noon-8PM,Noon-8PM,Noon-8PM
Lucky Strike,(212) 941-0479,SoHo,"59 Grand St., New York, NY 10013",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Luckydog,noval,Williamsburg - South Side,"303 Bedford Ave., Brooklyn, NY 11211",,,,,,,
Lucy's Cantina Royale,(212) 643-1270,Midtown West,"1 Penn Plz, New York, NY 10119",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Lugo Cucina,(212) 760-2700,Midtown West,"1 Penn Plz, New York, NY 10119",,,,,,,
Luke's Lobster,(212) 249-4241,Upper East Side,"242 E 81st St., New York, NY 10028",,,,,,,
Lupa,(212) 982-5089,Greenwich Village,"170 Thompson St., New York, NY 10012",,,,,,,
Lure Fish Bar,(212) 431-7676,SoHo,"142 Mercer St., New York, NY 10012",,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Luxor Lounge,(212) 475-5544,Greenwich Village,"118 Macdougal St., New York, NY 10012",,,,,,,
Luzzo's,(212) 473-7447,East Village,"211 1st Ave., New York, NY 10003",,,,,,,
L'ybane Wine Bar & Restaurant,(212) 582-2012,Theater District,"709 8th Ave., New York, NY 10036",,,,,,,
M O L O K O,(718) 596-3624,Bedford Stuyvesant,"705 Myrtle Ave., Bedford-Stuyvesant, NY 11205",,,,,,,
M Shanghai Bistro & Garden,(718) 384-9300,Williamsburg - South Side,"292 Grand St., Brooklyn, NY 11211",,,,,,,
M. Wells Steakhouse,(718) 786-9060,Long Island City,"43-15 Crescent St., Long Island City, NY 11101",,,,,,,
M1-5,(212) 965-1701,TriBeCa,"52 Walker St., New York, NY 10013",12PM-12AM,4PM-12AM,4PM-12AM,4PM-12AM,4PM-10PM,4PM-10PM,8PM-10PM
Macao Trading Co,(212) 431-8642,TriBeCa,"311 Church St., New York, NY 10013",,,,,,,
MacDougal Street Ale House,(212) 254-8569,Greenwich Village,"122 MacDougal St., New York, NY 10012",,,,,,,
Mace,noval,East Village,"649 E 9th St., New York, NY 10009",,,,,,,
Machiavelli,(212) 724-2658,Upper West Side,"519 Columbus Ave., New York, NY 10024",,,,,,,
Macondo,(212) 473-9900,Lower East Side,"157 E Houston St., New York, NY 10002",,,,,,,
Mad Dog & Beans,(212) 269-1177,Financial District,"83 Pearl St., New York, NY 10004",,,,,,,
Mad Donkey Beer Bar & Grill,(718) 204-2070,Astoria,"3207 36th Ave., Astoria, NY 11106",,,,,,,
Mad River,(212) 988-1832,Upper East Side,"1442 Third Ave., New York, NY 10028",11:30AM-3:30PM,7PM-10PM,8PM-10PM,8PM-10PM,7PM-Close,7PM-10PM,
Madame X,(212) 539-0808,Greenwich Village,"94 W Houston St., New York, NY 10012",,,,,,,
Made In Mexico,(646) 726-4849,Inwood,"3950 10th Ave., New York, NY 10034",,,,,,,
Madera Cuban Grill & Steakhouse,(718) 606-1236,Hunters Point,"47-29 Vernon Blvd., Long Island City, NY 11101",,,,,,,
Madiba Restaurant,(718) 855-9190,Fort Greene,"195 Dekalb Ave., Brooklyn, NY 11205",,,,,,,
Madiran The Wine Bar,(631) 675-2778,East Setauket,"209 Rt 25A, East Setauket, NY 11733",,,,,,,
Madison Bistro,(212) 447-1919,Midtown East,"238 Madison Ave., New York, NY 10016",,,,,,,
Madison Square Tavern,(212) 244-0410,Midtown West,"150 W 30th St., New York, NY 10001",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Maggiano's Little Italy,(201) 221-2030,Hackensack,"70 Riverside Sq, Hackensack, NJ 07601",,,,,,,
Maggie Reillys Restaurant,(646) 476-3209,Midtown West,"340 9th Ave., New York, NY 10001",,,,,,,
Maggie Spillane's Ale House,(914) 699-8900,Mt. Vernon,"579 Gramatan Ave., Mt. Vernon, NY 10552",11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM
Maggie's Place,(212) 753-5757,Midtown East,"21 E 47th St., New York, NY 10017",,,,,,,
Maharlika,(646) 392-7880,East Village,"111 1st Ave., New York, NY 10003",,,,,,,
Maialino,(212) 777-2410,Flatiron,"2 Lexington Ave., New York, NY 10010",,,,,,,
Maiella,(718) 606-1770,Hunters Point,"4610 Center Blvd., Long Island City, NY 11109",,,,,,,
Maison Harlem,(212) 222-9224,Harlem,"341 St. Nicholas Ave., New York, NY 10027",,,,,,,
Maison Premiere,(347) 335-0446,Williamsburg,"298 Bedford Ave., Brooklyn, NY 11211",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Maize Restaurant,(973) 733-2202,Newark,"50 Park Pl, Newark, NJ 07102",,,,,,,
Malachy's Donegal Inn,(212) 874-4268,Upper West Side,"103 W 72nd St., New York, NY 10023",,,,,,,
Malatesta Trattoria,(212) 741-1207,West Village,"649 Washington St., New York, NY 10014",,,,,,,
MaliBlue Oyster Bar,(516) 442-2799,Lido Beach,"1500 Lido Blvd., Lido Beach, NY 11561",All Day,,All Day,,,5PM-8PM,All Day
Maloney's Pub,(732) 583-4040,Matawan,"119 Main St., Matawan, NJ 07747",,,,,,,
Mamajuana Cafe Restaurant & Bar,(201) 558-1200,Secaucus,"875 Rt 3 E, Secaucus, NJ 07094",,,,,,,
Mama's Bar,(212) 777-5729,East Village,"34 Ave. B, New York, NY 10009",12AM-4AM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,12AM-4AM
Mamasita Bar & Grill,(212) 315-9444,Midtown West,"818 10th Ave., New York, NY 10019",,,,,,,
Mancora,(212) 253-1011,East Village,"97 First Ave., New York, NY 10003",,,,,,,
Mandarin Oriental,(212) 805-8800,Upper West Side,"80 Columbus Cir, New York, NY 10023",,,,,,,
Manhattan Brew & Vine,(646) 964-4091,Manhattan Valley,"998 Columbus Ave., New York, NY 10025",,,,,,,
Manhattan Cricket Club,(646) 823-9252,Upper West Side,"226 W 79th St., New York, NY 10024",,,,,,,
Manhattan Proper,(646) 559-4445,TriBeCa,"6 Murray St., New York, NY 10007",,,,,,,
Manitoba's,(212) 982-2511,East Village,"99 Ave B, New York, NY 10009",2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM
Manny's On Second,(212) 410-3300,Upper East Side,"1770 2nd Ave., New York, NY 10128",All Day,11AM-7PM|7PM-Close,11AM-7PM|7PM-Close,11AM-7PM|7PM-Close,11AM-7PM|7PM-Close,11AM-7PM|7PM-9PM,All Day
Manolo's Restaurant,(908) 353-7674,Elizabeth,"91 Elizabeth Ave., Elizabeth, NJ 07206",,,,,,,
Maracuja Bar and Grill,(718) 302-9023,Williamsburg,"279 Grand St., Brooklyn, NY 11211",,6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM,
Marc Forgione,(212) 941-9401,TriBeCa,"134 Reade St., New York, NY 10013",,,,,,,
Marcha Cocina,(212) 928-8272,Washington Heights,"4055 Broadway, New York, NY 10032",3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,4PM-2:30AM
Marea,(212) 582-5100,Midtown West,"240 Central Park S, New York, NY 10019",,,,,,,
Margon,(212) 354-5013,Theater District,"136 W 46th St., New York, NY 10036",,,,,,,
Mari Vanna,(212) 777-1955,Flatiron,"41 E 20th St., New York, NY 10003",,,,,,,
Marie's Crisis,(212) 243-9323,West Village,"59 Grove St., New York, NY 10014",,5:30PM-9PM,5:30PM-9PM,5:30PM-9PM,5:30PM-9PM,,
Marisco Centro,(212) 740-2000,Washington Heights,"1490 St. Nicholas Ave., New York, NY 10033",,,,,,,
Markt,(212) 727-3314,Flatiron,"676 6th Ave., New York, NY 10010",,,,,,,
Marquee Nightclub,(646) 473-0202,Chelsea,"289 10th Ave., New York, NY 10001",,,,,,,
Marseille,(212) 333-2323,Hell's Kitchen,"630 9th Ave., New York, NY 10036",,,,,,,
Marshall Stack,(212) 228-4667,Lower East Side,"66 Rivington St., New York, NY 10002",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Maru Karaoke Lounge,(212) 273-3413,Midtown West,"11 W 32nd St., New York, NY 10001",,,,,,,
Masa,(212) 823-9800,Hell's Kitchen,"10 Columbus Cir., New York, NY 10019",,,,,,,
Mason Jar NYC,(212) 213-3587,Midtown East,"43 E 30th St., New York, NY 10016",,,,,,,
Mateus Bar & Restaurant,(718) 464-4522,Queens Village,"22205 Jamaica Ave., Queens Village, NY 11428",,,,,,,
Matt Torrey's,(718) 218-7646,East Williamsburg,"46 Brushwick Ave., Brooklyn, NY 11211",,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,
Matts Grill,(212) 307-5109,Midtown West,"932 8th Ave., New York, NY 10019",,,,,,,
Max Brenner,(646) 467-8803,Union Square,"841 Broadway, New York, NY 10003",,,,,,,
Maxwell's Bar & Restaurant,(917) 261-6917,TriBeCa,"59 Reade St., New York, NY 10007",,,,,,,
Maya,(212) 585-1818,Upper East Side,"1191 1st Ave., New York, NY 10021",11AM-3PM,,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,11AM-3PM|5PM-8PM
Maya Modern Mexican Kitchen and Tequileria,(212) 585-1818,Upper East Side,"1191 First Ave., New York, NY 10065",11:30AM-4PM|3PM-Midnight,3PM-Midnight,3PM-8PM,3PM-8PM,3PM-8PM,10PM-Midnight,11:30AM-4PM|10PM-Midnight
Mayahuel,(212) 253-5888,East Village,"304 E 6th St., New York, NY 10003",,,,,,,
Mayfield,(347) 318-3643,Crown Heights,"688 Franklin Ave., Brooklyn, NY 11238",5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM
Maysville,(646) 490-8240,Flatiron,"17 W 26th St., New York, NY 10010",,,,,,,
Maz Mezcal,(212) 472-1599,Upper East Side,"316 E 86th St., New York, NY 10028",,,,,,,
Mazzat,(718) 852-1652,Columbia Street Waterfront District,"208 Columbia St., Brooklyn, NY 11231",,,,,,,
Mcaleer's Pub,(212) 362-7867,Upper West Side,"425 Amsterdam Ave., New York, NY 10024",,,,,,,
McCoy's Bar,(212) 957-8055,Theater District,"768 9th Ave., New York, NY 10019",,,,,,,
McFadden's,(212) 986-1515,Midtown East,"800 2nd Ave., New York, NY 10017",,6PM-9PM,6PM-9PM,6PM-9PM,6PM-9PM,,
McGarry's Bar and Restaurant,(212) 810-2115,Hell's Kitchen,"417 Ninth Ave., New York, NY 10001",,,,,,,
Mcgee's,(212) 957-3536,Midtown West,"240 W 55th St., New York, NY 10019",,,,,,,
McGettigans Irish Pub,(212) 913-0533,Midtown West,"70 W 36th St., New York, NY 10036",,,,,,,
McGovern's Tavern,(973) 643-3984,Newark,"58 New St., Newark, NJ 07102",,,,,4PM-7PM,,
McHale's Bar & Grill,(212) 957-5138,Midtown West,"251 W 51st St., New York, NY 10019",11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,11AM-8PM,
McKenna's Pub,(212) 255-2889,West Village,"250 W 14th St., New York, NY 10011",12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM
McSorley's Old Ale House,(212) 473-9148,East Village,"15 E 7th St., New York, NY 10003",,,,,,,
McSwiggan's,(212) 683-3180,Gramercy,"393 2nd Ave., New York, NY 10010",12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM,12-1PM|4PM-7PM|12AM-1AM
Medi Wine Bar,(212) 586-1201,Hell's Kitchen,"811 9th Ave., New York, NY 10019",4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close
Mehanata,(212) 625-0981,Lower East Side,"113 Ludlow St., New York, NY 10002",,,,,,,
Meijin Sakaba,(212) 327-2800,Yorkville,"1574 2nd Ave., New York, NY 10028",,5PM-11PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Mekelburg's,(718) 399-2337,Clinton Hill,"293 Grand Ave., Brooklyn, NY 11238",,,,,,,
Mela East,(212) 249-1010,Upper East Side,"1496 2nd Ave., New York, NY 10075",,,,,,,
Melba's,(212) 864-7777,Harlem,"300 W 114th St., New York, NY 10026",,,,,,,
Mel's Burger Bar,(212) 865-7100,Morningside Heights,"2850 Broadway, New York, NY 10025",,,,,,,
Mercato,(212) 643-2000,Hell's Kitchen,"352 W 39th St., New York, NY 10018",,,,,,,
Merchants NY,(212) 366-7267,Chelsea,"112 7th Ave., New York, NY 10011",,,,,,,
Mercury Bar East,(212) 683-2645,Midtown East,"493 3rd Ave., New York, NY 10016",All Day,5PM-Close,5PM-Close,5PM-Close,,,11AM-4PM
Mercury Lounge,(212) 260-4700,Lower East Side,"217 E Houston St., New York, NY 10002",,,,,,,
Mermaid Oyster Bar,(212) 260-0100,Greenwich Village,"79 MacDougal St., New York, NY 10012",5PM-7PM,5:30PM-10PM,5:30PM-7PM,5:30PM-7PM,5:30PM-7PM,5PM-7PM,5PM-7PM
Merrion,(212) 831-7696,Upper East Side,"1840 2nd Ave., New York, NY 10128",,5PM-7PM,5PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,
Mesa Coyoacan,(718) 782-8171,East Williamsburg,"372 Graham Ave., Brooklyn, NY 11211",,,,,,,
Meson Sevilla,(212) 262-5890,Hell's Kitchen,"344 W 46th St., New York, NY 10036",,,,,,,
Mess Hall,(646) 692-3098,Harlem,"2194 Frederick Douglass Blvd., Harlem, NY 10026",,,,,,,
Metro Grill,(212) 279-3535,Midtown West,"45 W 35th St., New York, NY 10001",,,,,,,
Mexicue,646-922-7289,NOMAD,"225 5th Ave., New York, NY 10010",12PM-5PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,12PM-5PM
Mezetto,(212) 933-4587,Lower East Side,"161 E Houston St., New York, NY 10002",,,,,,,
Mezze Bar,(917) 675-6266,Theater District,"691 9th Ave., New York, NY 10036",,,,,,,
Michael's Porthole,(516) 608-1380,Oceanside,"92 New St., Oceanside, NY 11572",,,,,,,
Mickey Spillane's,(212) 600-1672,Theater District,"350 W 49th St., New York, NY 10019",,,,,,,
Middle Branch,(212) 213-1350,Murray Hill,"154 E 33rd St., New York, NY 10016",,,,,,,
Midnights,(718) 384-6961,Williamsburg - North Side,"149 N 6th St., Brooklyn, NY 11249",,,,,,,
Midtown Live,(212) 695-8970,Midtown West,"251 W 30th Street, New York, NY 10001",,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,
Mighty Quinn's Barbeque,(212) 677-3733,East Village,"103 2nd Ave., New York, NY 10003",,,,,,,
Mikie Squared Bar & Grill,(201) 792-0001,Hoboken,"616 Washington St., Hoboken, NJ 07030",,,,,,,
Milano's Bar,(212) 226-8844,NoHo,"51 E Houston St., New York, NY 10012",3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM
Milk And Roses,(718) 389-0160,Greenpoint,"1110 Manhattan Ave., Brooklyn, NY 11222",,,,,,,
Milk River,(718) 636-8600,Crown Heights,"960 Atlantic Ave., Brooklyn, NY 11238",,,,,,,
Mill Creek Tavern,(516) 628-2000,Bayville,"275 Bayville Ave., Bayville, NY 11709",,4:30PM-7PM,4:30PM-7PM,4:30PM-7PM|All Day,4:30PM-7PM,4:30PM-7PM,
Miller's Ale House - Levittown,(516) 520-7000,Levittown,"3046 Hempstead Tpke, Levittown, NY 11756",,,,,,,
Minetta Tavern,(212) 475-3850,Greenwich Village,"113 Macdougal St., New York, NY 10012",,,,,,,
Minibar,(718) 569-2321,Carroll Gardens,"482 Ct. St., Brooklyn, NY 11231",,,,,,,
Minton's,(212) 243-2222,Harlem,"206 W 118th St., New York, NY 10026",,,,,,,
Mira Sushi & Izakaya Bar,(718) 989-7889,Flatiron,"46 W 22nd St., New York, NY 10010",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Miriam,(718) 622-2250,Park Slope,"79 5th Ave., Brooklyn, NY 11215",5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM|10PM-11:30PM,5PM-8PM|10PM-11:30PM
Miss Lily's,(646) 588-5375,Greenwich Village,"132 W Houston St., New York, NY 10012",,,,,,,
Mission Dolores Bar,(347) 457-5606,Park Slope,"249 4th Ave., Brooklyn, NY 11215",,,,,,,
Mist Harlem,(212) 828-6478,Harlem,"46 W 116th St., New York, NY 10026",,,,,,,
Miyabi Sushi & Asian Cusine,(212) 228-1688,Greenwich Village,"118 W 3rd St., New York, NY 10012",,,,,,,
Mizu Japanese & Thai Cuisine,(212) 505-6687,Flatiron,"29 E 20th St., New York, NY 10003",,,,,,,
MoCA Asian Bistro,(718) 268-3333,Forest Hills,"107-18 70th Rd., Forest Hills, NY 11375",,,,,,,
Moca Bar & Lounge,(212) 665-8081,Harlem,"2210 Frederick Douglass Blvd., New York, NY 10026",,,,,,,
Mojave,(718) 545-4100,Astoria,"22-36 31st St., Astoria, NY 11105",,,,,,,
Mojito Lounge and Restaurant,(908) 469-1741,Elizabeth,"525 Bayway Ave., Elizabeth, NJ 07202",,,,,,,
Mojito's,(212) 828-8635,East Harlem,"227 E 116 St., New York, NY 10029",,,,,,,
Molloy's Irish Pub,(212) 247-3400,Hell's Kitchen,"737 9th Ave., Manhattan, NY 10019",,,,,,,
Molly's,(212) 889-3361,Gramercy,"287 3rd Ave., New York, NY 10010",,,,,,,
Molyvos,(212) 582-7500,Midtown West,"871 7th Ave., New York, NY 10019",,,,,,,
Momofuku Ko,(212) 203-8095,East Village,"8 Extra Pl, New York, NY 10003",,,,,,,
Momofuku Noodle Bar,(212) 777-7773,East Village,"171 1st Ave., New York, NY 10003",,,,,,,
Momofuku Ssam Bar,(212) 254-3500,East Village,"207 2nd Ave., New York, NY 10003",,,,,,,
Momo's Sports Bar,(631) 648-9669,Holbrook,"350 Union Ave., Holbrook, NY 11741",,,,,,,
Monarch Rooftop,(212) 630-9993,Midtown West,"71 W 35th St., New York, NY 10001",,4PM-6PM,4PM-6PM,4PM-6PM,,,
Mona's,(212) 353-3780,East Village,"224 Ave. B, New York, NY 10009",,,,,,,
Monkey Bar,(212) 288-1010,Midtown East,"60 E 54th St., New York, NY 10022",,,,,,,
Monte's Trattoria,(212) 228-9194,Greenwich Village,"97 MacDougal St., New York, NY 10012",,,,,,,
Morandi,(212) 627-7575,West Village,"211 Waverly Pl, New York, NY 10014",,,,,,,
Morgan's Barbecue,(718) 622-2224,Prospect Heights,"267 Flatbush Ave., Brooklyn, NY 11217",,,,,,,
Morning Star Cafe,(212) 588-1050,Midtown East,"949 2nd Ave., New York, NY 10022",,,,,,,
Morton's The Steakhouse,(212) 972-3315,Midtown East,"551 5th Ave., New York, NY 10017",,4:30PM-6:30PM|9PM-Close,4:30PM-6:30PM|9PM-Close,4:30PM-6:30PM|9PM-Close,4:30PM-6:30PM|9PM-Close,4:30PM-6:30PM|9PM-Close,
Mosaic Cafe,(718) 728-0708,Astoria,"25-19 24th Ave., Astoria, NY 11102",,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Mother Burger,(212) 757-8600,Hell's Kitchen,"329 W 49th St., New York, NY 10019",,,,,,,
Mother's Ruin,(212) 219-0942,Nolita,"18 Spring St., New York, NY 10012",,,,,,,
Motorino,(212) 777-2644,East Village,"349 E 12th St., New York, NY 10003",,,,,,,
Mott Haven Bar and Grill,(718) 665-2001,Bronx,"1 Bruckner Blvd., Bronx, NY 10454",,,,,,,
Mr Biggs Bar & Grill,(212) 246-2030,Hell's Kitchen,"596 10th Ave., New York, NY 10036",,,,,,,
Mr Broadway,(212) 921-2152,Midtown West,"1372 Broadway, New York, NY 10018",,,,,,,
Mr. Dennehy's,(212) 414-1223,West Village,"63 Carmine St., New York, NY 10014",,,,,,,
Mudville 9,(212) 964-9464,TriBeCa,"126 Chambers St., New York, NY 10007",,,,,,,
Mug's Alehouse,(718) 486-8232,Williamsburg - North Side,"125 Bedford Ave., Brooklyn, NY 11211",,,,,,,
Mulcahy's,(516) 783-7500,Wantagh,"3232 Railroad Ave., Wantagh, NY 11793",All Night,All Night,,All Night,,3PM-8PM,All Night
Muldoon's Irish Pub,(212) 599-2750,Midtown East,"692 3rd Ave., New York City, NY 10017",,,,,,,
Mulholland's,(718) 486-3473,Williamsburg - South Side,"312 Grand St., Brooklyn, NY 11211",,,,,,,
Mulino a Vino,(855) 343-4513,Meatpacking District,"337 W 14th St., New York, NY 10014",,,,,,,
Mullanes Bar & Grill,(718) 797-7606,Fort Greene,"71 Lafayette Ave., Brooklyn, NY 11217",,,,,,,
Mulligan's Pub,(212) 286-0207,Midtown East,"267 Madison Ave., New York, NY 10016",,,,,,,
Mumtaz Indian Restaurant,(212) 879-4797,Upper East Side,"1582 York Ave., New York, NY 10028",,,,,,,
Murphy's Pub & Restaurant,(212) 751-5400,Midtown East,"977 2nd Ave., New York, NY 10022",,,,,,,
Murphy's Tavern,(212) 425-1700,Financial District,"6 Stone St., New York, NY 10004",4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM
Murray's Cheese Bar,(646) 476-8882,West Village,"264 Bleecker St., New York, NY 10014",,,,,,,
Mussels & More,(718) 680-3390,Bay Ridge,"8001 5th Ave., Brooklyn, NY 11209",,,,,,,
Mustang Harry's,(212) 268-8930,Chelsea,"352 7th Ave., New York, NY 10001",12AM-4AM,12AM-4AM,12AM-4AM,12AM-4AM,12AM-4AM,12AM-4AM,12AM-4AM
Myrtle and Gold,(718) 858-8178,Downtown Brooklyn,"343 Gold St., Brooklyn, NY 11201",,,,,,,
